iter	Logloss
222	0.4177215011
223	0.4174415306
224	0.4171064871
225	0.4167640686
226	0.4163520248
227	0.4156885218
228	0.4153111211
229	0.4149468033
230	0.4146463465
231	0.4141864353
232	0.4138185572
233	0.4134047897
234	0.4131572582
235	0.4126381486
236	0.4121226841
237	0.4117049041
238	0.4114732813
239	0.4108958492
240	0.4103690819
241	0.4099199648
242	0.4096672341
243	0.4093275282
244	0.4090555262
245	0.4087885256
246	0.4084097403
247	0.408203125
248	0.4080727471
249	0.4078342296
250	0.4075433237
251	0.4072237933
252	0.4068864893
253	0.406574334
254	0.4060714157
255	0.4057511224
256	0.4052710074
257	0.4049686573
258	0.4047253644
259	0.4044721815
260	0.4041006583
261	0.4037306892
262	0.4035684374
263	0.4033933851
264	0.4031236437
265	0.4027742174
266	0.4024056894
267	0.401662332
268	0.4012087787
269	0.4009853787
270	0.4007309525
271	0.4002881651
272	0.4000940676
273	0.3998705829
274	0.3996186998
275	0.3993125633
276	0.3989874098
277	0.3985823455
278	0.3982918633
279	0.3979087547
280	0.3974792763
281	0.3970175566
282	0.3969667223
283	0.3965642011
284	0.3963945177
285	0.3959876732
286	0.3955999304
287	0.3954605385
288	0.395339655
289	0.3951394823
290	0.3948677346
291	0.3945189299
292	0.3942557441
293	0.393886877
294	0.3935194227
295	0.3931180036
296	0.3928647924
297	0.3926334805
298	0.3924206769
299	0.3921001293
300	0.3917230112
301	0.3913289388
302	0.3909835533
303	0.3905679773
304	0.3903380217
305	0.3901006345
306	0.3897532428
307	0.3895410326
308	0.3891810099
309	0.3888624121
310	0.3886609678
311	0.3884926973
312	0.3882508454
313	0.3878961069
314	0.3874997174
315	0.3870752123
316	0.3867896469
317	0.3864970454
318	0.3862817552
319	0.3859715214
320	0.3855094627
321	0.3851438734
322	0.3849128441
323	0.3846314607
324	0.3843979447
325	0.3841590316
326	0.3838649608
327	0.3835682622
328	0.3832810296
329	0.3829776623
330	0.3826607033
331	0.3824604176
332	0.3823406078
333	0.3820164151
334	0.3817834077
335	0.3815902993
336	0.3812697517
337	0.3810340034
338	0.3807821203
339	0.3805750529
340	0.3802792019
341	0.3800497267
342	0.3798372057
343	0.379500269
344	0.3792700308
345	0.3790391993
346	0.3788499903
347	0.3785573041
348	0.3783430311
349	0.3781024226
350	0.3778806616
351	0.3776508755
352	0.3774132623
353	0.3772309197
354	0.3770378961
355	0.376736648
356	0.3764501218
357	0.3761611938
358	0.3758709943
359	0.3756382978
360	0.3754140783
361	0.3751929954
362	0.3749939813
363	0.3749204282
364	0.3745383369
365	0.3743949608
366	0.37401821
367	0.3735726251
368	0.3730165835
369	0.3726698699
370	0.3725127044
371	0.3721012257
372	0.3716933074
373	0.3714769151
374	0.3711466754
375	0.3707966557
376	0.3704434995
377	0.370191673
378	0.3701208609
379	0.3699702228
380	0.3697186505
381	0.3695842319
382	0.3694388496
383	0.3691974499
384	0.3689554003
385	0.3686909428
386	0.3684552793
387	0.3681666056
388	0.3680195561
389	0.3677447566
390	0.3675452621
391	0.3673182735
392	0.3670830056
393	0.3667829725
394	0.3665660152
395	0.3662693448
396	0.3659917761
397	0.3658194648
398	0.3656224004
399	0.3654468113
400	0.365147852
401	0.3649118777
402	0.3646030285
403	0.3643363105
404	0.3641675313
405	0.3638412476
406	0.3635568689
407	0.3633470888
408	0.3630991053
409	0.3627653616
410	0.3624369869
411	0.3623048288
412	0.3618417811
413	0.3615957189
414	0.3611365989
415	0.3609947487
416	0.3607827646
417	0.360501579
418	0.3602562233
419	0.3600436175
420	0.3597785667
421	0.3596394292
422	0.3593802558
423	0.3591521087
424	0.3588721946
425	0.3586011533
426	0.3583702087
427	0.3581389816
428	0.3576221042
429	0.3574064467
430	0.3570660344
431	0.3567198577
432	0.3564267194
433	0.3561727171
434	0.3559688709
435	0.3556497644
436	0.3554714627
437	0.3550864043
438	0.3548567878
439	0.3547784311
440	0.354630986
441	0.3543472573
442	0.3541964496
443	0.3538495664
444	0.3535750778
445	0.353286065
446	0.3531160143
447	0.3528818766
448	0.3526230424
449	0.352349797
450	0.3521505285
451	0.3518406056
452	0.351682112
453	0.3513822485
454	0.3510917946
455	0.3508924414
456	0.3505473384
457	0.3503462615
458	0.3501956233
459	0.3500800804
460	0.3499128554
461	0.3496392992
462	0.3494631167
463	0.3492026435
464	0.3489127265
465	0.3486672013
466	0.3485165066
467	0.34824004
468	0.3480634054
469	0.3478846232
470	0.3477745621
471	0.3475659971
472	0.3473402235
473	0.3472169664
474	0.3469721476
475	0.346755162
476	0.3466198109
477	0.3464617694
478	0.3462121469
479	0.3457266914
480	0.3453818992
481	0.3450528745
482	0.3449062771
483	0.3446753043
484	0.3445352625
485	0.3443082739
486	0.3440286142
487	0.3438388401
488	0.3436557063
489	0.343363331
490	0.3430946068
491	0.3429141009
492	0.3425729822
493	0.3424101935
494	0.3422229908
495	0.3420777497
496	0.3419211494
497	0.3417733652
498	0.3415713557
499	0.3411528128
500	0.3409940932
501	0.3407237865
502	0.3404121681
503	0.340185123
504	0.3400042499
505	0.339732813
506	0.3394740917
507	0.3391849377
508	0.3388042591
509	0.3385901275
510	0.3383494624
511	0.3381036829
512	0.3377932513
513	0.3376222964
514	0.3374389648
515	0.3373140406
516	0.3370554606
517	0.3368997927
518	0.3367144549
519	0.3365694964
520	0.3363571167
521	0.3360900031
522	0.3359212805
523	0.3357395031
524	0.335428252
525	0.3352153072
526	0.3349454527
527	0.334621825
528	0.3343605607
529	0.3341269599
530	0.333891918
531	0.3336580065
532	0.3334392406
533	0.3332178186
534	0.3330195674
535	0.3328484994
536	0.3324836731
537	0.3323087622
538	0.3320206536
539	0.3318191528
540	0.331523641
541	0.3313566137
542	0.3311832569
543	0.3309042754
544	0.3307513202
545	0.3305471632
546	0.3303492511
547	0.3300367567
548	0.3297800982
549	0.3295465257
550	0.3292830291
551	0.3290816978
552	0.3288782473
553	0.3286390799
554	0.3284697921
555	0.328082671
556	0.3278495789
557	0.3276313782
558	0.3273917304
559	0.3272581312
560	0.3270836724
561	0.3269120393
562	0.3266951667
563	0.3264303137
564	0.3261587072
565	0.3259872154
566	0.325706821
567	0.3254159715
568	0.3252331769
569	0.3249724777
570	0.3246838605
571	0.3243951868
572	0.3240841336
573	0.3239843863
574	0.3237890173
575	0.3234962181
576	0.32330667
577	0.3230599297
578	0.3228843972
579	0.3226991724
580	0.3224100749
581	0.3221768415
582	0.3219003183
583	0.3217572813
584	0.3215828224
585	0.3213148612
586	0.3210676123
587	0.3209214952
588	0.3207249394
589	0.3204977247
590	0.3202406707
591	0.3200458668
592	0.3198464005
593	0.3196294996
594	0.319260237
595	0.3189760279
596	0.3187806871
597	0.3183844107
598	0.3181807059
599	0.3179207131
600	0.3177021168
601	0.3173869098
602	0.3171117429
603	0.3169529102
604	0.3166855989
605	0.3163930257
606	0.3161912141
607	0.3159310235
608	0.3156517594
609	0.3153756601
610	0.3152010317
611	0.3150060018
612	0.3147237142
613	0.3145280344
614	0.3142997459
615	0.3140188429
616	0.3138199135
617	0.313528951
618	0.3133162887
619	0.3131333245
620	0.312868641
621	0.312685366
622	0.3124431751
623	0.3121751008
624	0.311958539
625	0.3117405362
626	0.3114735921
627	0.3112779405
628	0.3111006278
629	0.3108733001
630	0.310609436
631	0.3103105898
632	0.3100822166
633	0.3098747253
634	0.3096674319
635	0.3093340838
636	0.3090989572
637	0.3089375249
638	0.3086833813
639	0.308428729
640	0.3082447193
641	0.3080733123
642	0.3078757109
643	0.307605037
644	0.3073265358
645	0.3071641427
646	0.3068881282
647	0.3066745899
648	0.3065086082
649	0.3063373707
650	0.3061222783
651	0.3058398211
652	0.3056228638
653	0.3054154573
654	0.3052266721
655	0.3050251431
656	0.3048464175
657	0.3046863697
658	0.3044691298
659	0.3042592367
660	0.3040533278
661	0.303751345
662	0.3035934448
663	0.3033583464
664	0.3031924778
665	0.3029424032
666	0.3027483057
667	0.3025512413
668	0.3023703116
669	0.3021708453
670	0.3020089609
671	0.3017911558
672	0.3015614827
673	0.3014137268
674	0.3011361581
675	0.3009375961
676	0.3007769549
677	0.3005769518
678	0.3004174409
679	0.3002252084
680	0.2999750491
681	0.2997343558
682	0.2995666504
683	0.2994259587
684	0.2992218865
685	0.2990425392
686	0.2987923234
687	0.2986101786
688	0.2983678465
689	0.2981603834
690	0.2980203417
691	0.2977689955
692	0.2975687663
693	0.2974262096
694	0.2972456755
695	0.2970442595
696	0.2968820643
697	0.2967132003
698	0.2964834708
699	0.2962387933
700	0.2960693359
701	0.2958311858
702	0.2956948174
703	0.2955688477
704	0.2953743829
705	0.2951217086
706	0.2949753938
707	0.2947522199
708	0.2945242423
709	0.2943626404
710	0.2941616482
711	0.2939735413
712	0.2937602856
713	0.2935798362
714	0.2934120461
715	0.2932391414
716	0.2930455526
717	0.2928642273
718	0.2926809523
719	0.2925230521
720	0.2923508256
721	0.2921644988
722	0.2919786524
723	0.2918151855
724	0.2916262026
725	0.2914094713
726	0.2911442509
727	0.291015512
728	0.2907910382
729	0.2906309905
730	0.2903948183
731	0.2902026989
732	0.2900346544
733	0.2899081195
734	0.2897074382
735	0.2895642881
736	0.2894413418
737	0.2892647072
738	0.2890849361
739	0.2889688562
740	0.288796884
741	0.2886071099
742	0.2884391502
743	0.2882818434
744	0.2881044741
745	0.2879012214
746	0.2877665202
747	0.2875753897
748	0.2874502677
749	0.2873059026
750	0.2871181347
751	0.2869472928
752	0.2868004693
753	0.2866301925
754	0.2864871555
755	0.286363531
756	0.286157057
757	0.2859489158
758	0.2857696533
759	0.2855511136
760	0.2854371813
761	0.2852479723
762	0.2851274561
763	0.284956925
764	0.2847499706
765	0.2846399943
766	0.2844921536
767	0.2842861599
768	0.2840390241
769	0.2838703297
770	0.2837651853
771	0.2835230509
772	0.2833492703
773	0.2831972475
774	0.2830504241
775	0.2828139976
776	0.2827078078
777	0.2825183445
778	0.2823577881
779	0.2822356613
780	0.282105679
781	0.2819467615
782	0.2818001076
783	0.2816897922
784	0.2815466704
785	0.2814092565
786	0.2812246817
787	0.2811476531
788	0.2810482449
789	0.2809129786
790	0.2807179769
791	0.2806206597
792	0.2803485447
793	0.2801649306
794	0.2800294099
795	0.2798619588
796	0.2797676086
797	0.2795692726
798	0.2793598316
799	0.2790902597
800	0.2789534957
801	0.2787894355
802	0.2786866082
803	0.2785607232
804	0.2783633762
805	0.278243736
806	0.2781022814
807	0.2780179059
808	0.277876197
809	0.2778303923
810	0.2776975279
811	0.2775839912
812	0.2774314598
813	0.2773481581
814	0.2771812156
815	0.2770177205
816	0.2768542254
817	0.2767230281
818	0.276528083
819	0.2763197157
820	0.2761545252
821	0.2760507654
822	0.2759130125
823	0.2757496304
824	0.2756246496
825	0.2754995275
826	0.2754022386
827	0.2752834179
828	0.2751252916
829	0.2749865214
830	0.2747851054
831	0.27469392
832	0.2744996813
833	0.2744301407
834	0.2742516977
835	0.2740858855
836	0.2739124439
837	0.2737750301
838	0.2736391138
839	0.2735745465
840	0.2734329789
841	0.2733032509
842	0.2731391907
843	0.2729068332
844	0.2727469833
845	0.2726438169
846	0.2725006669
847	0.272319822
848	0.2721425939
849	0.2719855132
850	0.2718453301
851	0.2717707034
852	0.2716745165
853	0.2715250651
854	0.2714212488
855	0.2712933858
856	0.2711448669
857	0.2710007279
858	0.2708489877
859	0.2706728052
860	0.2705402516
861	0.2704036006
862	0.2702690407
863	0.2701842697
864	0.2701013071
865	0.2700111672
866	0.2698354085
867	0.269694406
868	0.2695429484
869	0.2694088406
870	0.2692725288
871	0.2691522669
872	0.2689817641
873	0.2687859712
874	0.2686589841
875	0.2685763606
876	0.268464915
877	0.2684229533
878	0.2682931971
879	0.2681174949
880	0.26803603
881	0.2679198654
882	0.2678074307
883	0.267696861
884	0.2676045171
885	0.2674167774
886	0.2672249688
887	0.2671838266
888	0.2670398288
889	0.2669562163
890	0.2668367174
891	0.2667223047
892	0.2665270205
893	0.2664086801
894	0.2663055985
895	0.2661127726
896	0.2659340752
897	0.2658561989
898	0.2658082185
899	0.2657654374
900	0.2656233328
901	0.265498126
902	0.2653839394
903	0.2653095104
904	0.2652622364
905	0.2651050426
906	0.2649070175
907	0.2647494563
908	0.2646206609
909	0.2645751953
910	0.2645077176
911	0.2643814369
912	0.2642633226
913	0.2641134191
914	0.2639686302
915	0.2638225132
916	0.263669897
917	0.26350092
918	0.2633513274
919	0.2631989656
920	0.2631290577
921	0.2630418283
922	0.2629336604
923	0.2628612377
924	0.262714499
925	0.2625229447
926	0.2623395284
927	0.2622070313
928	0.2620738277
929	0.2619249415
930	0.2617526019
931	0.2617159243
932	0.2616800944
933	0.2614754571
934	0.2613617508
935	0.2613039935
936	0.2611966168
937	0.261086471
938	0.2609543412
939	0.2607959889
940	0.2606766877
941	0.2605543349
942	0.2604881569
943	0.2604457714
944	0.2601846483
945	0.2600669578
946	0.2598986308
947	0.259781675
948	0.2596224184
949	0.259538156
950	0.2594394825
951	0.2592931677
952	0.259133233
953	0.2590073197
954	0.2588257966
955	0.2587329441
956	0.258611891
957	0.258444666
958	0.2583023636
959	0.2581679733
960	0.2580656264
961	0.2579018487
962	0.2578596044
963	0.2577685886
964	0.2577175564
965	0.2575605604
966	0.2573970088
967	0.2572634662
968	0.2571453801
969	0.2569491351
970	0.2568303991
971	0.2567889178
972	0.2567136694
973	0.2566134135
974	0.2565738254
975	0.2564039725
976	0.2562965676
977	0.2561671787
978	0.255985373
979	0.2558229234
980	0.2556471365
981	0.2555190475
982	0.2553419325
983	0.2553029943
984	0.2551410251
985	0.2549648709
986	0.2548388446
987	0.2547788549
988	0.2546482793
989	0.254506429
990	0.2544135765
991	0.2543761077
992	0.2542363485
993	0.2540624548
994	0.2539479856
995	0.2538068983
996	0.2537086769
997	0.2535290753
998	0.2534414221
999	0.2533650716
