loanamount,totaldue,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,systemloanid,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,firstduedate_days,firstrepaiddate_days
10000.0,13000.0,30,Yes,Good,29,Savings,3.3594054,6.605609,UBA,Permanent,301927665.0,1.0,10000.0,13000.0,30,24,30,24
10000.0,11500.0,15,Yes,Good,36,Savings,2.957738,6.5342122,GT Bank,Permanent,301962582.0,1.0,10000.0,11500.0,15,14,15,14
40000.0,44000.0,30,Yes,Good,29,Other,12.4805166,9.2099548,GT Bank,Permanent,301737932.0,5.0,30000.0,34500.0,30,33,32,33
10000.0,11500.0,15,Yes,Good,41,Savings,3.30555,6.5103567,GT Bank,Undisclosed,301808589.0,2.0,10000.0,11500.0,15,14,15,14
10000.0,11500.0,15,Yes,Good,31,Savings,3.9036073,7.3393735,GT Bank,Permanent,301936690.0,2.0,10000.0,13000.0,30,14,30,14
10000.0,13000.0,30,Yes,Good,31,Savings,3.6595105,6.6681408,GT Bank,Permanent,301953730.0,1.0,10000.0,11500.0,15,15,15,15
30000.0,34500.0,30,Yes,Good,29,Other,8.6713276,9.0830135,GT Bank,Permanent,301919279.0,6.0,20000.0,24500.0,30,10,30,10
20000.0,22250.0,15,Yes,Good,43,Savings,3.5579715,6.4634231,GT Bank,Permanent,301862302.0,6.0,20000.0,23800.0,30,29,30,29
20000.0,24500.0,30,Yes,Good,55,Savings,5.3269784,7.799699,Access Bank,Permanent,301867766.0,3.0,10000.0,13000.0,30,13,32,13
10000.0,13000.0,30,Yes,Good,31,Savings,3.5159825,6.7062641,Zenith Bank,Permanent,301912857.0,1.0,10000.0,11500.0,15,14,15,14
10000.0,13000.0,30,Yes,Bad,33,Savings,3.2643932,6.5667918,GT Bank,Undisclosed,301865971.0,1.0,10000.0,11500.0,15,8,16,8
20000.0,24500.0,30,Yes,Good,31,Current,3.9074055,6.8171079,UBA,Permanent,301936637.0,2.0,10000.0,13000.0,30,11,30,11
10000.0,11500.0,15,Yes,Good,32,Savings,3.3229955,6.6538756,Access Bank,Undisclosed,301968854.0,1.0,10000.0,11500.0,15,14,16,14
10000.0,13000.0,30,Yes,Good,33,Savings,3.8710285,7.307713,First Bank,Permanent,301938814.0,1.0,10000.0,13000.0,30,8,33,8
10000.0,13000.0,30,Yes,Good,30,Savings,7.4847391,8.9966162,UBA,Permanent,301928159.0,1.0,10000.0,11500.0,15,14,16,14
40000.0,48000.0,60,Yes,Good,41,Savings,3.3427681,6.5094142,GT Bank,Self-Employed,301615399.0,3.0,10000.0,11500.0,15,18,17,17
40000.0,44000.0,30,Yes,Good,47,Other,3.4339027,6.8257862,GT Bank,Unemployed,301890330.0,15.0,40000.0,44000.0,30,32,32,32
20000.0,22250.0,15,Yes,Bad,24,Savings,-2.9799497,56.464013,Zenith Bank,Student,301611372.0,1.0,10000.0,11500.0,15,8,17,7
30000.0,34500.0,30,Yes,Good,47,Savings,7.4941013,8.9654194,First Bank,Permanent,301928599.0,11.0,30000.0,34500.0,30,31,30,31
30000.0,34500.0,30,Yes,Bad,38,Other,8.3232966,4.9612435,GT Bank,Self-Employed,301752899.0,2.0,10000.0,11500.0,15,16,15,16
40000.0,48000.0,60,Yes,Good,29,Savings,3.1696445,6.6879675,Stanbic IBTC,Permanent,301926831.0,11.0,40000.0,48000.0,60,34,30,31
30000.0,39000.0,60,Yes,Good,34,Savings,3.9628733,7.3864283,UBA,Permanent,301888144.0,3.0,10000.0,11500.0,15,0,15,0
30000.0,39000.0,60,Yes,Good,32,Savings,6.785373,6.1538848,Fidelity Bank,Permanent,301941101.0,4.0,20000.0,24500.0,30,18,31,18
10000.0,13000.0,30,Yes,Good,29,Savings,3.8485124,7.3684474,Access Bank,Permanent,301938248.0,1.0,10000.0,13000.0,30,30,30,30
10000.0,13000.0,30,Yes,Good,29,Savings,3.3562934,6.5295153,GT Bank,Unemployed,301756581.0,5.0,20000.0,24500.0,30,134,30,134
30000.0,34500.0,30,Yes,Good,25,Savings,3.4575733,6.8170067,GT Bank,Permanent,301954208.0,5.0,20000.0,22250.0,15,7,15,7
10000.0,13000.0,30,Yes,Good,21,Savings,3.1941288,6.5054402,UBA,Student,301971067.0,1.0,10000.0,11500.0,15,11,15,11
20000.0,24500.0,30,Yes,Good,39,Savings,3.3704039,6.5613766,GT Bank,Permanent,301925152.0,4.0,20000.0,24000.0,30,24,31,24
10000.0,13000.0,30,Yes,Good,30,Savings,3.5754168,6.8846432,UBA,Permanent,301938610.0,1.0,10000.0,13000.0,30,28,33,28
10000.0,13000.0,30,Yes,Good,30,Other,6.5298068,9.6558677,Diamond Bank,Permanent,301967385.0,1.0,10000.0,11500.0,15,11,17,11
30000.0,34500.0,30,Yes,Good,36,Savings,3.0422946,7.0111402,First Bank,Permanent,301929536.0,7.0,30000.0,34500.0,30,30,30,30
30000.0,34500.0,30,Yes,Good,37,Other,3.3296052,6.6641726,Diamond Bank,Self-Employed,301757858.0,6.0,20000.0,24500.0,30,28,32,28
30000.0,34500.0,30,Yes,Bad,35,Other,8.3422141,4.9916379,UBA,Self-Employed,301665135.0,3.0,20000.0,24500.0,30,27,30,26
20000.0,24500.0,30,Yes,Good,41,Savings,3.3189105,6.475366,Diamond Bank,Permanent,301832228.0,1.0,10000.0,13000.0,30,28,31,28
15000.0,16687.5,15,Yes,Good,43,Savings,3.0761816,6.5206408,Wema Bank,Permanent,301868062.0,5.0,10000.0,11450.0,15,20,18,20
50000.0,52500.0,30,Yes,Good,36,Other,3.4569749,6.4445183,Access Bank,Permanent,301770522.0,7.0,30000.0,34400.0,30,23,30,23
30000.0,34500.0,30,Yes,Good,31,Savings,7.4031311,9.0338175,GT Bank,Permanent,301835261.0,5.0,20000.0,23800.0,30,26,31,26
10000.0,13000.0,30,Yes,Good,32,Savings,3.2987679,6.6817293,Sterling Bank,Permanent,301919680.0,1.0,10000.0,13000.0,30,26,30,26
10000.0,13000.0,30,Yes,Good,25,Savings,7.42814,10.5155267,Access Bank,Permanent,301941430.0,1.0,10000.0,13000.0,30,29,31,29
10000.0,13000.0,30,Yes,Good,30,Savings,3.5643465,6.4670586,Zenith Bank,Undisclosed,301955303.0,1.0,10000.0,13000.0,30,26,30,26
10000.0,13000.0,30,Yes,Good,33,Savings,3.9192159,6.834497,Access Bank,Permanent,301928154.0,1.0,10000.0,13000.0,30,24,30,24
10000.0,13000.0,30,Yes,Good,34,Savings,3.3329005,6.5848311,Skye Bank,Permanent,301948924.0,2.0,10000.0,13000.0,30,30,31,30
40000.0,44000.0,30,Yes,Good,25,Savings,4.5164514,7.5221913,Access Bank,Student,301877071.0,7.0,30000.0,36800.0,60,54,30,30
10000.0,11500.0,15,Yes,Good,32,Savings,7.9308565,5.0315413,Access Bank,Permanent,301908236.0,1.0,10000.0,11500.0,15,15,17,15
10000.0,13000.0,30,Yes,Good,26,Savings,7.3739783,8.9866,GT Bank,Permanent,301956556.0,1.0,10000.0,13000.0,30,30,32,30
10000.0,11500.0,15,Yes,Good,46,Savings,7.5247928,6.4143695,Diamond Bank,Permanent,301921209.0,1.0,10000.0,11500.0,15,7,15,7
10000.0,13000.0,30,Yes,Good,26,Savings,3.516056,6.6697184,Access Bank,Permanent,301937144.0,1.0,10000.0,13000.0,30,22,30,22
10000.0,13000.0,30,Yes,Good,33,Savings,3.2906601,6.5762048,GT Bank,Unemployed,301937606.0,1.0,10000.0,13000.0,30,23,30,23
10000.0,13000.0,30,Yes,Bad,37,Savings,6.9935739,4.787991,Access Bank,Permanent,301944932.0,1.0,10000.0,13000.0,30,29,30,29
20000.0,22250.0,15,Yes,Good,22,Savings,5.74397,5.5321806,UBA,Permanent,301922286.0,2.0,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,40,Savings,4.4920481,8.4683092,GT Bank,Permanent,301940563.0,1.0,10000.0,13000.0,30,28,31,28
40000.0,48000.0,60,Yes,Good,37,Savings,3.2907677,6.5763859,Stanbic IBTC,Permanent,301853271.0,7.0,40000.0,47600.0,60,60,30,49
20000.0,22250.0,15,Yes,Good,32,Savings,3.4585124,6.4391929,GT Bank,Permanent,301930511.0,3.0,10000.0,13000.0,30,29,30,29
10000.0,11500.0,15,Yes,Good,32,Savings,3.8715045,7.4209592,Access Bank,Undisclosed,301938462.0,1.0,10000.0,11500.0,15,0,15,0
10000.0,11500.0,15,Yes,Good,43,Savings,6.975335,4.8818767,Access Bank,Permanent,301920608.0,1.0,10000.0,13000.0,30,30,31,30
10000.0,13000.0,30,Yes,Good,31,Savings,3.3399935,6.6387534,GT Bank,Permanent,301903021.0,1.0,10000.0,13000.0,30,54,31,54
20000.0,24500.0,30,Yes,Good,32,Savings,7.081465,4.847945,GT Bank,Permanent,301888206.0,2.0,10000.0,11500.0,15,14,15,14
20000.0,24500.0,30,Yes,Good,31,Savings,3.39221,6.5391844,Diamond Bank,Permanent,301896450.0,2.0,10000.0,13000.0,30,25,30,25
40000.0,44000.0,30,Yes,Bad,30,Savings,8.5754049,12.0086534,Stanbic IBTC,Permanent,301856042.0,7.0,30000.0,34400.0,30,29,30,29
10000.0,13000.0,30,Yes,Bad,31,Savings,3.3255983,7.1194033,Sterling Bank,Permanent,301929966.0,1.0,10000.0,13000.0,30,33,30,33
10000.0,13000.0,30,Yes,Bad,31,Savings,3.3238605,7.1142931,First Bank,Permanent,301890038.0,1.0,10000.0,13000.0,30,32,32,32
20000.0,24500.0,30,Yes,Bad,30,Savings,3.3768426,6.5578572,Stanbic IBTC,Undisclosed,301921004.0,2.0,10000.0,13000.0,30,21,30,21
10000.0,13000.0,30,Yes,Bad,33,Savings,5.2191494,7.2108393,Access Bank,Permanent,301928612.0,1.0,10000.0,13000.0,30,37,31,37
10000.0,11500.0,15,Yes,Good,40,Other,7.0123508,4.7531198,Sterling Bank,Permanent,301621350.0,1.0,5000.0,5750.0,15,20,15,19
50000.0,52500.0,30,Yes,Good,41,Other,3.1260613,6.6778432,GT Bank,Self-Employed,301811040.0,12.0,40000.0,47600.0,60,30,30,30
30000.0,34500.0,30,Yes,Good,26,Savings,3.3813132,6.4939532,Zenith Bank,Permanent,301928897.0,5.0,20000.0,24500.0,30,22,30,22
20000.0,22250.0,15,Yes,Bad,30,Savings,3.5410367,6.733155,Skye Bank,Permanent,301669024.0,1.0,10000.0,11500.0,15,7,15,7
10000.0,13000.0,30,Yes,Good,31,Savings,3.3016329,6.5212034,GT Bank,Permanent,301957129.0,2.0,10000.0,13000.0,30,25,31,25
10000.0,13000.0,30,Yes,Good,42,Other,3.5541342,6.6105681,Access Bank,Permanent,301949406.0,2.0,10000.0,13000.0,30,27,31,27
30000.0,39000.0,60,Yes,Good,39,Savings,3.3232994,6.627701,GT Bank,Permanent,301909500.0,4.0,10000.0,12250.0,30,7,30,7
20000.0,21750.0,15,Yes,Good,29,Savings,3.3484849,6.6348512,Diamond Bank,Undisclosed,301902932.0,1.0,10000.0,11500.0,15,18,18,18
10000.0,11500.0,15,Yes,Bad,30,Savings,8.3163457,5.0481816,GT Bank,Undisclosed,301948612.0,2.0,10000.0,13000.0,30,31,31,31
20000.0,24500.0,30,Yes,Good,41,Other,3.2972894,6.6627479,GT Bank,Permanent,301922902.0,4.0,20000.0,24500.0,30,31,33,31
10000.0,13000.0,30,Yes,Bad,26,Other,7.4881394,8.9752501,Diamond Bank,Permanent,301993366.0,1.0,10000.0,11500.0,15,4,15,4
10000.0,12250.0,30,Yes,Good,33,Savings,7.4527967,10.4446483,Access Bank,Undisclosed,301854267.0,1.0,10000.0,13000.0,30,28,30,28
10000.0,13000.0,30,Yes,Good,35,Savings,3.4446285,6.8397571,First Bank,Permanent,301949065.0,4.0,10000.0,13000.0,30,34,31,34
20000.0,24500.0,30,Yes,Good,31,Savings,7.4654217,9.08262,EcoBank,Permanent,301816767.0,1.0,10000.0,13000.0,30,21,30,21
10000.0,11500.0,15,Yes,Good,27,Savings,3.3572047,6.6736015,GT Bank,Permanent,301941628.0,1.0,10000.0,11500.0,15,13,17,13
15000.0,18375.0,30,Yes,Good,36,Savings,6.992216,4.8309534,UBA,Permanent,301886291.0,1.0,10000.0,11500.0,15,14,16,14
10000.0,11500.0,15,Yes,Good,32,Savings,3.3527862,6.5081435,Access Bank,Permanent,301974732.0,1.0,10000.0,11500.0,15,4,15,4
10000.0,13000.0,30,Yes,Good,30,Savings,3.3822099,6.541528,GT Bank,Permanent,301942835.0,1.0,10000.0,13000.0,30,27,30,27
30000.0,34500.0,30,Yes,Good,29,Savings,3.3333825,7.1453259,GT Bank,Permanent,301833807.0,4.0,20000.0,23800.0,30,29,30,29
10000.0,11500.0,15,Yes,Good,31,Other,3.3960986,6.5525789,Access Bank,Permanent,301956639.0,1.0,10000.0,11500.0,15,15,15,15
30000.0,39000.0,60,Yes,Good,27,Savings,7.4450653,9.0768353,Zenith Bank,Undisclosed,301941636.0,6.0,20000.0,24500.0,30,27,30,27
40000.0,44000.0,30,Yes,Good,30,Savings,3.2663346,6.5193908,First Bank,Permanent,301850150.0,9.0,40000.0,44800.0,30,33,33,33
10000.0,11500.0,15,Yes,Bad,38,Savings,3.2518396,6.462774,GT Bank,Permanent,301914207.0,2.0,10000.0,11500.0,15,23,16,23
10000.0,13000.0,30,Yes,Good,37,Savings,3.3576273,6.6156295,Skye Bank,Permanent,301911394.0,1.0,10000.0,11500.0,15,15,15,15
30000.0,39000.0,60,Yes,Good,29,Other,3.2701279,6.5798375,UBA,Permanent,301701592.0,1.0,10000.0,13000.0,30,35,32,35
10000.0,13000.0,30,Yes,Good,38,Savings,3.2858723,6.6848185,UBA,Permanent,301758875.0,1.0,10000.0,11500.0,15,5,15,5
30000.0,34500.0,30,Yes,Good,29,Savings,7.34362,9.1514167,Stanbic IBTC,Permanent,301911004.0,4.0,20000.0,24500.0,30,28,30,28
20000.0,24500.0,30,Yes,Good,28,Savings,3.2949539,6.6100043,Keystone Bank,Permanent,301799402.0,1.0,10000.0,11500.0,15,17,15,17
10000.0,13000.0,30,Yes,Good,34,Savings,7.6066558,9.0236601,Skye Bank,Permanent,301952058.0,1.0,10000.0,13000.0,30,29,31,29
30000.0,34500.0,30,Yes,Good,38,Savings,5.2071219,7.2298362,FCMB,Permanent,301799564.0,1.0,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,33,Savings,3.5930051,6.4966842,First Bank,Permanent,301942740.0,1.0,10000.0,13000.0,30,28,30,28
10000.0,13000.0,30,Yes,Good,33,Savings,3.4823154,6.4275138,GT Bank,Permanent,301928646.0,2.0,10000.0,13000.0,30,30,30,30
20000.0,24500.0,30,Yes,Good,29,Savings,3.4905746,6.438789,Diamond Bank,Permanent,301846249.0,4.0,10000.0,11500.0,15,16,16,16
10000.0,13000.0,30,Yes,Good,51,Savings,3.1270017,6.6744999,First Bank,Permanent,301923920.0,1.0,10000.0,13000.0,30,34,32,34
10000.0,13000.0,30,Yes,Good,30,Savings,7.027062,4.8300052,Diamond Bank,Permanent,301969307.0,1.0,10000.0,13000.0,30,12,31,12
10000.0,11500.0,15,Yes,Good,30,Savings,3.3473632,6.5972101,GT Bank,Permanent,301939263.0,1.0,10000.0,11500.0,15,8,18,8
10000.0,13000.0,30,Yes,Bad,26,Savings,3.2975096,6.6020294,GT Bank,Permanent,301895331.0,1.0,10000.0,11500.0,15,15,15,15
20000.0,22250.0,15,Yes,Bad,31,Savings,7.4026336,10.5292298,Access Bank,Permanent,301941230.0,2.0,10000.0,11500.0,15,17,17,17
10000.0,13000.0,30,Yes,Bad,38,Savings,4.5306913,7.757783,GT Bank,Permanent,301953671.0,1.0,10000.0,13000.0,30,27,31,27
10000.0,13000.0,30,Yes,Bad,26,Savings,3.9787919,7.3898717,First Bank,Undisclosed,301917983.0,1.0,10000.0,13000.0,30,34,34,34
10000.0,11500.0,15,Yes,Bad,35,Savings,3.3248839,6.4882979,GT Bank,Permanent,301944135.0,3.0,10000.0,11500.0,15,23,15,23
30000.0,34500.0,30,Yes,Bad,36,Other,3.3670765,6.5692471,EcoBank,Permanent,301922686.0,9.0,30000.0,34500.0,30,30,30,30
10000.0,13000.0,30,Yes,Bad,27,Savings,3.4787141,6.6151351,GT Bank,Permanent,301875898.0,2.0,10000.0,13000.0,30,25,31,25
20000.0,24500.0,30,Yes,Good,29,Other,3.3137109,6.6492708,GT Bank,Self-Employed,301673341.0,6.0,20000.0,24500.0,30,81,30,81
10000.0,11500.0,15,Yes,Good,44,Savings,7.0257568,4.8364665,Fidelity Bank,Permanent,301828401.0,3.0,10000.0,13000.0,30,36,30,36
50000.0,52500.0,30,Yes,Good,31,Savings,3.2872317,6.5925733,GT Bank,Self-Employed,301890968.0,8.0,30000.0,33000.0,30,26,31,26
10000.0,11000.0,30,Yes,Good,32,Other,3.3767344,6.5477946,Stanbic IBTC,Unemployed,301752870.0,7.0,30000.0,34500.0,30,30,30,30
10000.0,11500.0,30,Yes,Good,28,Other,7.4572617,9.005805,Fidelity Bank,Permanent,301905169.0,4.0,20000.0,22250.0,15,17,17,17
10000.0,13000.0,30,Yes,Good,33,Savings,3.4617967,6.42786,Zenith Bank,Permanent,301947302.0,1.0,10000.0,13000.0,30,9,32,9
10000.0,11500.0,15,Yes,Bad,30,Savings,3.3029379,6.6263662,First Bank,Undisclosed,301921129.0,1.0,10000.0,11500.0,15,15,15,15
20000.0,24500.0,30,Yes,Good,34,Savings,7.6116831,12.9773078,Diamond Bank,Permanent,301880350.0,1.0,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,27,Savings,3.3982718,6.4489034,UBA,Undisclosed,301887157.0,1.0,10000.0,11500.0,15,14,15,14
20000.0,24500.0,30,Yes,Good,40,Other,3.3271381,6.495763,Zenith Bank,Permanent,301625971.0,1.0,10000.0,11500.0,15,8,15,7
10000.0,13000.0,30,Yes,Good,35,Savings,7.9117961,5.0372535,EcoBank,Permanent,301957467.0,1.0,10000.0,13000.0,30,28,31,28
10000.0,11500.0,15,Yes,Good,27,Savings,6.1429231,6.7377853,Zenith Bank,Permanent,301974644.0,1.0,10000.0,11500.0,15,0,15,0
10000.0,11500.0,15,Yes,Good,32,Savings,3.3603715,6.4357419,Fidelity Bank,Permanent,301941731.0,2.0,10000.0,11500.0,15,7,16,7
30000.0,34500.0,30,Yes,Good,53,Savings,3.4258698,6.4301778,First Bank,Permanent,301954840.0,6.0,30000.0,34500.0,30,27,30,27
10000.0,13000.0,30,Yes,Good,29,Savings,5.2199203,7.6360513,EcoBank,Permanent,301935566.0,1.0,10000.0,13000.0,30,22,30,22
30000.0,39000.0,60,Yes,Good,42,Other,7.1125429,4.9024769,EcoBank,Self-Employed,301794672.0,6.0,25000.0,29000.0,30,26,30,26
10000.0,11500.0,15,Yes,Good,31,Savings,3.8682345,7.3814232,GT Bank,Permanent,301939888.0,2.0,10000.0,11500.0,15,11,15,11
10000.0,13000.0,30,Yes,Good,34,Savings,3.3625978,6.5888607,GT Bank,Permanent,301942527.0,2.0,10000.0,13000.0,30,29,30,29
10000.0,11500.0,15,Yes,Good,25,Savings,7.0441028,4.8116446,GT Bank,Permanent,301933706.0,1.0,10000.0,13000.0,30,24,30,24
10000.0,11500.0,15,Yes,Good,36,Savings,3.3989022,6.4498967,GT Bank,Permanent,301974808.0,1.0,10000.0,11500.0,15,8,15,8
20000.0,24500.0,30,Yes,Bad,27,Savings,3.3288985,6.507412,First Bank,Permanent,301902494.0,2.0,10000.0,11500.0,15,18,18,18
30000.0,39000.0,60,Yes,Good,27,Other,3.3768682,6.5310263,GT Bank,Student,301752426.0,4.0,20000.0,24500.0,30,28,30,28
20000.0,24500.0,30,Yes,Good,31,Savings,3.3535331,6.703723,UBA,Permanent,301894162.0,1.0,10000.0,13000.0,30,25,31,25
10000.0,13000.0,30,Yes,Good,36,Savings,3.6128002,6.4816779,Zenith Bank,Permanent,301839319.0,3.0,10000.0,13000.0,30,55,32,48
10000.0,13000.0,30,Yes,Good,24,Savings,3.5141362,6.4515404,GT Bank,Student,301979029.0,1.0,10000.0,11500.0,15,11,16,11
30000.0,39000.0,60,Yes,Good,35,Savings,3.3528548,6.5422168,UBA,Permanent,301827829.0,5.0,20000.0,23800.0,30,27,30,27
30000.0,39000.0,60,Yes,Good,24,Other,3.9234333,7.430623,Skye Bank,Self-Employed,301709275.0,1.0,10000.0,13000.0,30,32,32,32
10000.0,13000.0,30,Yes,Good,33,Savings,4.0079063,7.4250565,Sterling Bank,Permanent,301973801.0,1.0,10000.0,11500.0,15,15,15,15
20000.0,24500.0,30,Yes,Good,33,Savings,4.5816276,8.4867694,First Bank,Permanent,301936534.0,4.0,20000.0,22250.0,15,11,15,11
10000.0,11500.0,15,Yes,Good,35,Savings,3.3446901,6.5544168,Diamond Bank,Permanent,301944950.0,1.0,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,34,Savings,3.3496532,6.4972031,GT Bank,Permanent,301917250.0,2.0,10000.0,11500.0,15,9,16,9
20000.0,22250.0,15,Yes,Good,32,Savings,7.421629,9.1070126,Access Bank,Unemployed,301874699.0,2.0,10000.0,13000.0,30,31,32,31
20000.0,24500.0,30,Yes,Good,32,Savings,3.4168724,6.7510385,Zenith Bank,Undisclosed,301922752.0,2.0,10000.0,13000.0,30,27,30,27
20000.0,24500.0,30,Yes,Good,29,Savings,4.5284322,7.4893858,Access Bank,Permanent,301908218.0,3.0,20000.0,24500.0,30,29,30,29
30000.0,34500.0,30,Yes,Good,42,Other,8.5394608,11.9796196,First Bank,Permanent,301926857.0,7.0,30000.0,34500.0,30,24,30,24
15000.0,17250.0,30,Yes,Good,34,Savings,7.4102541,9.1122137,Wema Bank,Undisclosed,301919217.0,5.0,15000.0,16687.5,15,17,17,17
10000.0,13000.0,30,Yes,Good,26,Savings,3.3922637,6.5737625,UBA,Permanent,301931051.0,2.0,10000.0,13000.0,30,32,32,32
10000.0,11500.0,15,Yes,Good,28,Savings,5.2131294,7.2125532,Diamond Bank,Undisclosed,301919375.0,3.0,10000.0,11500.0,15,6,16,6
10000.0,13000.0,30,Yes,Good,33,Savings,3.3702298,6.6288104,Skye Bank,Permanent,301925595.0,1.0,10000.0,13000.0,30,26,31,26
50000.0,57500.0,90,Yes,Good,26,Savings,7.7275822,11.0985096,Access Bank,Permanent,301755931.0,5.0,30000.0,34500.0,30,22,30,22
30000.0,34500.0,30,Yes,Good,33,Other,3.296138,6.6630858,GT Bank,Self-Employed,301717030.0,2.0,10000.0,11500.0,30,19,33,19
