loanamount,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,bank_name_clients,employment_status_clients,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,record_time,behind
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Undisclosed,2.0,10000.0,13000.0,30,31,No,1
Medium,30,Yes,Good,Adults,Other,GT Bank,Permanent,4.0,20000.0,24500.0,30,31,No,1
Small,30,Yes,Bad,Young_adults,Other,Diamond Bank,Permanent,1.0,10000.0,11500.0,15,4,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Undisclosed,1.0,10000.0,13000.0,30,28,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,4.0,10000.0,13000.0,30,34,No,4
Medium,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,13000.0,30,21,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,13,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,11500.0,15,4,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,20000.0,23800.0,30,29,Yes,0
Small,15,Yes,Good,Young_adults,Other,Access Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Large,60,Yes,Good,Young_adults,Savings,Zenith Bank,Undisclosed,6.0,20000.0,24500.0,30,27,Yes,0
Large,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,9.0,40000.0,44800.0,30,33,No,3
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,11500.0,15,23,No,8
Small,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Large,60,Yes,Good,Young_adults,Other,UBA,Permanent,1.0,10000.0,13000.0,30,35,No,5
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,11500.0,15,5,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,4.0,20000.0,24500.0,30,28,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Keystone Bank,Permanent,1.0,10000.0,11500.0,15,17,No,2
Small,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Large,30,Yes,Good,Young_adults,Savings,FCMB,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,4.0,10000.0,11500.0,15,16,No,1
Small,30,Yes,Good,Adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,34,No,4
Small,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,12,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,8,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Medium,15,Yes,Bad,Young_adults,Savings,Access Bank,Permanent,2.0,10000.0,11500.0,15,17,No,2
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,First Bank,Undisclosed,1.0,10000.0,13000.0,30,34,No,4
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,11500.0,15,23,No,8
Large,30,Yes,Bad,Young_adults,Other,EcoBank,Permanent,9.0,30000.0,34500.0,30,30,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,25,Yes,0
Medium,30,Yes,Good,Young_adults,Other,GT Bank,Self-Employed,6.0,20000.0,24500.0,30,81,No,51
Small,15,Yes,Good,Adults,Savings,Fidelity Bank,Permanent,3.0,10000.0,13000.0,30,36,No,6
,30,Yes,Good,Young_adults,Savings,GT Bank,Self-Employed,8.0,30000.0,33000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Other,Stanbic IBTC,Unemployed,7.0,30000.0,34500.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Other,Fidelity Bank,Permanent,4.0,20000.0,22250.0,15,17,No,2
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,13000.0,30,9,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Undisclosed,1.0,10000.0,11500.0,15,15,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Undisclosed,1.0,10000.0,11500.0,15,14,Yes,0
Medium,30,Yes,Good,Adults,Other,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,8,Yes,0
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,0,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Fidelity Bank,Permanent,2.0,10000.0,11500.0,15,7,Yes,0
Large,30,Yes,Good,Adults,Savings,First Bank,Permanent,6.0,30000.0,34500.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Large,60,Yes,Good,Adults,Other,EcoBank,Self-Employed,6.0,25000.0,29000.0,30,26,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,11500.0,15,11,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,29,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,8,Yes,0
Medium,30,Yes,Bad,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,11500.0,15,18,No,3
Large,60,Yes,Good,Young_adults,Other,GT Bank,Student,4.0,20000.0,24500.0,30,28,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,25,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,3.0,10000.0,13000.0,30,55,No,25
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Student,1.0,10000.0,11500.0,15,11,Yes,0
Large,60,Yes,Good,Young_adults,Savings,UBA,Permanent,5.0,20000.0,23800.0,30,27,Yes,0
Large,60,Yes,Good,Young_adults,Other,Skye Bank,Self-Employed,1.0,10000.0,13000.0,30,32,No,2
Small,30,Yes,Good,Young_adults,Savings,Sterling Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,4.0,20000.0,22250.0,15,11,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,11500.0,15,9,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,Access Bank,Unemployed,2.0,10000.0,13000.0,30,31,No,1
Medium,30,Yes,Good,Young_adults,Savings,Zenith Bank,Undisclosed,2.0,10000.0,13000.0,30,27,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,3.0,20000.0,24500.0,30,29,Yes,0
Large,30,Yes,Good,Adults,Other,First Bank,Permanent,7.0,30000.0,34500.0,30,24,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Wema Bank,Undisclosed,5.0,15000.0,16687.5,15,17,No,2
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,2.0,10000.0,13000.0,30,32,No,2
Small,15,Yes,Good,Young_adults,Savings,Diamond Bank,Undisclosed,3.0,10000.0,11500.0,15,6,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,13000.0,30,26,Yes,0
,90,Yes,Good,Young_adults,Savings,Access Bank,Permanent,5.0,30000.0,34500.0,30,22,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Self-Employed,2.0,10000.0,11500.0,30,19,Yes,0
Small,30,Yes,Good,Adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,32,No,2
Medium,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,4.0,20000.0,24500.0,30,27,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,3.0,10000.0,13000.0,30,32,No,2
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Large,30,Yes,Good,Young_adults,Other,Diamond Bank,Retired,4.0,20000.0,24500.0,30,29,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,12,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,9,Yes,0
Small,30,Yes,Bad,Adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,37,No,7
Medium,30,Yes,Bad,Young_adults,Savings,GT Bank,Undisclosed,2.0,10000.0,13000.0,30,34,No,4
Small,30,Yes,Bad,Young_adults,Savings,UBA,Student,1.0,10000.0,13000.0,30,44,No,14
Small,30,Yes,Bad,Adults,Savings,Stanbic IBTC,Permanent,3.0,10000.0,13000.0,30,50,No,20
Large,60,Yes,Bad,Young_adults,Savings,EcoBank,Permanent,4.0,20000.0,23800.0,30,33,No,3
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Undisclosed,1.0,10000.0,11500.0,15,10,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Self-Employed,8.0,20000.0,21900.0,15,13,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Permanent,9.0,30000.0,34400.0,30,19,Yes,0
Small,30,Yes,Bad,Young_adults,Other,GT Bank,Self-Employed,2.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Self-Employed,2.0,10000.0,11500.0,15,9,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Large,60,Yes,Good,Adults,Savings,Access Bank,Undisclosed,4.0,20000.0,22250.0,15,16,No,1
Large,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,4.0,20000.0,23800.0,30,8,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,25,Yes,0
Small,30,Yes,Good,Adults,Savings,First Bank,Permanent,3.0,10000.0,13000.0,30,33,No,3
Medium,15,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,11500.0,15,8,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,16,No,1
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Large,60,Yes,Good,Young_adults,Other,Access Bank,Self-Employed,1.0,10000.0,13000.0,30,27,Yes,0
Medium,30,Yes,Bad,Young_adults,Savings,EcoBank,Permanent,3.0,10000.0,13000.0,30,30,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,14,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Stanbic IBTC,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,17,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,15,Yes,Bad,Adults,Savings,Zenith Bank,Permanent,5.0,10000.0,11500.0,15,66,No,51
Small,30,Yes,Good,Young_adults,Other,First Bank,Permanent,3.0,10000.0,13000.0,30,54,No,24
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,10000.0,11125.0,15,10,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Self-Employed,13.0,30000.0,34500.0,30,23,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Diamond Bank,Permanent,2.0,10000.0,13000.0,30,23,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,27,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,First Bank,Undisclosed,3.0,10000.0,11500.0,15,17,No,2
Medium,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Undisclosed,5.0,20000.0,24500.0,30,28,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,4.0,20000.0,24500.0,30,33,No,3
Small,30,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,27,Yes,0
Medium,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,4.0,20000.0,24500.0,30,30,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,16,No,1
Small,30,Yes,Bad,Young_adults,Savings,First Bank,Unemployed,2.0,10000.0,13000.0,30,25,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Large,60,Yes,Good,Young_adults,Savings,GT Bank,Permanent,8.0,30000.0,36800.0,60,60,Yes,0
Small,15,Yes,Good,Young_adults,Savings,First Bank,Permanent,2.0,10000.0,11500.0,15,18,No,3
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,2.0,10000.0,13000.0,30,2,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,32,No,2
Large,60,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,7.0,30000.0,34400.0,30,10,Yes,0
Medium,30,Yes,Good,Young_adults,Other,UBA,Permanent,4.0,15000.0,18350.0,30,37,No,7
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,6,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
