loanamount,termdays,good_bad_flag,age_as_at_2017,bank_account_type,employment_status_clients,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,record_time,behind,firstduedate_days
20000.0,15,Good,Adults,Savings,Permanent,6.0,Amt_Medium,Due_Medium,30,29,Yes,0,30
20000.0,30,Good,Adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,13,Yes,0,32
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,14,Yes,0,15
10000.0,30,Bad,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,8,Yes,0,16
20000.0,30,Good,Young_adults,Current,Permanent,2.0,Amt_Small,Due_Medium,30,11,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,14,Yes,0,16
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,8,Yes,0,33
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,14,Yes,0,16
40000.0,60,Good,Adults,Savings,Self-Employed,3.0,Amt_Small,Due_Small,15,18,No,3,17
40000.0,30,Good,Adults,Other,Unemployed,15.0,Amt_Large,Due_Large,30,32,No,2,32
20000.0,15,Bad,Young_adults,Savings,Student,1.0,Amt_Small,Due_Small,15,8,Yes,0,17
30000.0,30,Good,Adults,Savings,Permanent,11.0,Amt_Large,Due_Large,30,31,No,1,30
30000.0,30,Bad,Young_adults,Other,Self-Employed,2.0,Amt_Small,Due_Small,15,16,No,1,15
40000.0,60,Good,Young_adults,Savings,Permanent,11.0,Amt_Large,Due_Large,60,34,Yes,0,30
30000.0,60,Good,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Small,15,0,Yes,0,15
30000.0,60,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,18,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,30,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Unemployed,5.0,Amt_Medium,Due_Large,30,134,No,104,30
30000.0,30,Good,Young_adults,Savings,Permanent,5.0,Amt_Medium,Due_Medium,15,7,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Student,1.0,Amt_Small,Due_Small,15,11,Yes,0,15
20000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,24,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,33
10000.0,30,Good,Young_adults,Other,Permanent,1.0,Amt_Small,Due_Small,15,11,Yes,0,17
30000.0,30,Good,Young_adults,Savings,Permanent,7.0,Amt_Large,Due_Large,30,30,Yes,0,30
30000.0,30,Good,Young_adults,Other,Self-Employed,6.0,Amt_Medium,Due_Large,30,28,Yes,0,32
30000.0,30,Bad,Young_adults,Other,Self-Employed,3.0,Amt_Medium,Due_Large,30,27,Yes,0,30
20000.0,30,Good,Adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,31
15000.0,15,Good,Adults,Savings,Permanent,5.0,Amt_Small,Due_Small,15,20,No,5,18
50000.0,30,Good,Young_adults,Other,Permanent,7.0,Amt_Large,Due_Large,30,23,Yes,0,30
30000.0,30,Good,Young_adults,Savings,Permanent,5.0,Amt_Medium,Due_Medium,30,26,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,26,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,29,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Medium,30,26,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,24,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,30,Yes,0,31
40000.0,30,Good,Young_adults,Savings,Student,7.0,Amt_Large,Due_Large,60,54,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,17
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,30,Yes,0,32
10000.0,15,Good,Adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,7,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,22,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Unemployed,1.0,Amt_Small,Due_Medium,30,23,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,29,Yes,0,30
20000.0,15,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,30,Good,Adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,31
40000.0,60,Good,Young_adults,Savings,Permanent,7.0,Amt_Large,Due_Large,60,60,Yes,0,30
20000.0,15,Good,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,29,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,0,Yes,0,15
10000.0,15,Good,Adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,30,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,54,No,24,31
20000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,14,Yes,0,15
20000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,25,Yes,0,30
40000.0,30,Bad,Young_adults,Savings,Permanent,7.0,Amt_Large,Due_Large,30,29,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,33,No,3,30
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,32,No,2,32
20000.0,30,Bad,Young_adults,Savings,Undisclosed,2.0,Amt_Small,Due_Medium,30,21,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,37,No,7,31
10000.0,15,Good,Adults,Other,Permanent,1.0,Amt_Small,Due_Small,15,20,No,5,15
50000.0,30,Good,Adults,Other,Self-Employed,12.0,Amt_Large,Due_Large,60,30,Yes,0,30
30000.0,30,Good,Young_adults,Savings,Permanent,5.0,Amt_Medium,Due_Large,30,22,Yes,0,30
20000.0,15,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,7,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,25,Yes,0,31
10000.0,30,Good,Adults,Other,Permanent,2.0,Amt_Small,Due_Medium,30,27,Yes,0,31
30000.0,60,Good,Young_adults,Savings,Permanent,4.0,Amt_Small,Due_Medium,30,7,Yes,0,30
20000.0,15,Good,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,18,No,3,18
10000.0,15,Bad,Young_adults,Savings,Undisclosed,2.0,Amt_Small,Due_Medium,30,31,No,1,31
20000.0,30,Good,Adults,Other,Permanent,4.0,Amt_Medium,Due_Large,30,31,No,1,33
10000.0,30,Bad,Young_adults,Other,Permanent,1.0,Amt_Small,Due_Small,15,4,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Medium,30,28,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Small,Due_Medium,30,34,No,4,31
20000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,21,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,13,Yes,0,17
15000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,14,Yes,0,16
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,4,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,27,Yes,0,30
30000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Medium,30,29,Yes,0,30
10000.0,15,Good,Young_adults,Other,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
30000.0,60,Good,Young_adults,Savings,Undisclosed,6.0,Amt_Medium,Due_Large,30,27,Yes,0,30
40000.0,30,Good,Young_adults,Savings,Permanent,9.0,Amt_Large,Due_Large,30,33,No,3,33
10000.0,15,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,23,No,8,16
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
30000.0,60,Good,Young_adults,Other,Permanent,1.0,Amt_Small,Due_Medium,30,35,No,5,32
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,5,Yes,0,15
30000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,28,Yes,0,30
20000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,17,No,2,15
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,29,Yes,0,31
30000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,30,Yes,0,30
20000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Small,Due_Small,15,16,No,1,16
10000.0,30,Good,Adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,34,No,4,32
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,12,Yes,0,31
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,8,Yes,0,18
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
20000.0,15,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,17,No,2,17
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,27,Yes,0,31
10000.0,30,Bad,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Medium,30,34,No,4,34
10000.0,15,Bad,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Small,15,23,No,8,15
30000.0,30,Bad,Young_adults,Other,Permanent,9.0,Amt_Large,Due_Large,30,30,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,25,Yes,0,31
20000.0,30,Good,Young_adults,Other,Self-Employed,6.0,Amt_Medium,Due_Large,30,81,No,51,30
10000.0,15,Good,Adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,36,No,6,30
50000.0,30,Good,Young_adults,Savings,Self-Employed,8.0,Amt_Large,Due_Large,30,26,Yes,0,31
10000.0,30,Good,Young_adults,Other,Unemployed,7.0,Amt_Large,Due_Large,30,30,Yes,0,30
10000.0,30,Good,Young_adults,Other,Permanent,4.0,Amt_Medium,Due_Medium,15,17,No,2,17
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,9,Yes,0,32
10000.0,15,Bad,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
20000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,14,Yes,0,15
20000.0,30,Good,Adults,Other,Permanent,1.0,Amt_Small,Due_Small,15,8,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,31
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,0,Yes,0,15
10000.0,15,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,7,Yes,0,16
30000.0,30,Good,Adults,Savings,Permanent,6.0,Amt_Large,Due_Large,30,27,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,22,Yes,0,30
30000.0,60,Good,Adults,Other,Self-Employed,6.0,Amt_Large,Due_Large,30,26,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,11,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,29,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,24,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,8,Yes,0,15
20000.0,30,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,18,No,3,18
30000.0,60,Good,Young_adults,Other,Student,4.0,Amt_Medium,Due_Large,30,28,Yes,0,30
20000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,25,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,55,No,25,32
10000.0,30,Good,Young_adults,Savings,Student,1.0,Amt_Small,Due_Small,15,11,Yes,0,16
30000.0,60,Good,Young_adults,Savings,Permanent,5.0,Amt_Medium,Due_Medium,30,27,Yes,0,30
30000.0,60,Good,Young_adults,Other,Self-Employed,1.0,Amt_Small,Due_Medium,30,32,No,2,32
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
20000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Medium,15,11,Yes,0,15
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,15,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,9,Yes,0,16
20000.0,15,Good,Young_adults,Savings,Unemployed,2.0,Amt_Small,Due_Medium,30,31,No,1,32
20000.0,30,Good,Young_adults,Savings,Undisclosed,2.0,Amt_Small,Due_Medium,30,27,Yes,0,30
20000.0,30,Good,Young_adults,Savings,Permanent,3.0,Amt_Medium,Due_Large,30,29,Yes,0,30
30000.0,30,Good,Adults,Other,Permanent,7.0,Amt_Large,Due_Large,30,24,Yes,0,30
15000.0,30,Good,Young_adults,Savings,Undisclosed,5.0,Amt_Medium,Due_Medium,15,17,No,2,17
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,32,No,2,32
10000.0,15,Good,Young_adults,Savings,Undisclosed,3.0,Amt_Small,Due_Small,15,6,Yes,0,16
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,26,Yes,0,31
50000.0,90,Good,Young_adults,Savings,Permanent,5.0,Amt_Large,Due_Large,30,22,Yes,0,30
30000.0,30,Good,Young_adults,Other,Self-Employed,2.0,Amt_Small,Due_Small,30,19,Yes,0,33
10000.0,30,Good,Adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,32,No,2,32
20000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,27,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,32,No,2,32
10000.0,15,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,14,Yes,0,15
30000.0,30,Good,Young_adults,Other,Retired,4.0,Amt_Medium,Due_Large,30,29,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,12,Yes,0,32
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,9,Yes,0,16
10000.0,30,Bad,Adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,29,Yes,0,32
10000.0,30,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,37,No,7,30
20000.0,30,Bad,Young_adults,Savings,Undisclosed,2.0,Amt_Small,Due_Medium,30,34,No,4,33
10000.0,30,Bad,Young_adults,Savings,Student,1.0,Amt_Small,Due_Medium,30,44,No,14,30
10000.0,30,Bad,Adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,50,No,20,31
30000.0,60,Bad,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Medium,30,33,No,3,33
10000.0,15,Bad,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,10,Yes,0,15
40000.0,30,Good,Young_adults,Other,Self-Employed,8.0,Amt_Medium,Due_Medium,15,13,Yes,0,15
30000.0,30,Good,Young_adults,Other,Permanent,9.0,Amt_Large,Due_Large,30,19,Yes,0,30
10000.0,30,Bad,Young_adults,Other,Self-Employed,2.0,Amt_Small,Due_Medium,30,30,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Self-Employed,2.0,Amt_Small,Due_Small,15,9,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,26,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,30,Yes,0,30
30000.0,60,Good,Adults,Savings,Undisclosed,4.0,Amt_Medium,Due_Medium,15,16,No,1,16
30000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Medium,30,8,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,26,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,25,Yes,0,31
10000.0,30,Good,Adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,33,No,3,30
20000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,8,Yes,0,17
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,27,Yes,0,32
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,16,No,1,16
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,22,Yes,0,32
40000.0,60,Good,Young_adults,Other,Self-Employed,1.0,Amt_Small,Due_Medium,30,27,Yes,0,30
20000.0,30,Bad,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Medium,30,30,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,14,Yes,0,31
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,24,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,17,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,27,Yes,0,33
20000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,30,Yes,0,31
10000.0,15,Bad,Adults,Savings,Permanent,5.0,Amt_Small,Due_Small,15,66,No,51,16
10000.0,30,Good,Young_adults,Other,Permanent,3.0,Amt_Small,Due_Medium,30,54,No,24,30
15000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Small,Due_Small,15,10,Yes,0,15
40000.0,30,Good,Young_adults,Other,Self-Employed,13.0,Amt_Large,Due_Large,30,23,Yes,0,30
30000.0,30,Good,Young_adults,Other,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,23,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,27,Yes,0,30
20000.0,30,Good,Young_adults,Savings,Undisclosed,3.0,Amt_Small,Due_Small,15,17,No,2,17
20000.0,30,Good,Young_adults,Savings,Undisclosed,5.0,Amt_Medium,Due_Large,30,28,Yes,0,30
20000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,33,No,3,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,14,Yes,0,15
20000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,27,Yes,0,30
20000.0,30,Bad,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,30,Yes,0,30
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,16,No,1,16
10000.0,30,Bad,Young_adults,Savings,Unemployed,2.0,Amt_Small,Due_Medium,30,25,Yes,0,32
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,28,Yes,0,32
10000.0,30,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
40000.0,60,Good,Young_adults,Savings,Permanent,8.0,Amt_Large,Due_Large,60,60,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,18,No,3,17
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,2,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,32,No,2,30
40000.0,60,Bad,Young_adults,Savings,Permanent,7.0,Amt_Large,Due_Large,30,10,Yes,0,32
20000.0,30,Good,Young_adults,Other,Permanent,4.0,Amt_Medium,Due_Medium,30,37,No,7,32
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,6,Yes,0,17
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,24,Yes,0,30
50000.0,60,Good,Young_adults,Other,Self-Employed,6.0,Amt_Large,Due_Large,60,58,Yes,0,30
10000.0,30,Good,Adults,Savings,Undisclosed,1.0,Amt_Small,Due_Medium,30,31,No,1,31
20000.0,15,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,23,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,7,Yes,0,17
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,23,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,21,Yes,0,31
20000.0,30,Bad,Young_adults,Savings,Undisclosed,3.0,Amt_Small,Due_Small,15,12,Yes,0,16
10000.0,15,Good,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Small,15,38,No,23,15
30000.0,30,Good,Young_adults,Other,Permanent,4.0,Amt_Medium,Due_Medium,15,15,Yes,0,17
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,30,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,6,Yes,0,16
30000.0,30,Good,Young_adults,Savings,Permanent,3.0,Amt_Small,Due_Small,15,7,Yes,0,16
30000.0,30,Good,Young_adults,Savings,Undisclosed,5.0,Amt_Small,Due_Small,15,17,No,2,15
