loanamount,totaldue,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,bank_name_clients,employment_status_clients,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,firstduedate_days,firstrepaiddate_days
10000.0,13000.0,30,Yes,Bad,33,Savings,GT Bank,Undisclosed,10000.0,11500.0,15,8,16,8
20000.0,24500.0,30,Yes,Good,31,Current,UBA,Permanent,10000.0,13000.0,30,11,30,11
10000.0,11500.0,15,Yes,Good,32,Savings,Access Bank,Undisclosed,10000.0,11500.0,15,14,16,14
10000.0,13000.0,30,Yes,Good,33,Savings,First Bank,Permanent,10000.0,13000.0,30,8,33,8
10000.0,13000.0,30,Yes,Good,30,Savings,UBA,Permanent,10000.0,11500.0,15,14,16,14
40000.0,48000.0,60,Yes,Good,41,Savings,GT Bank,Self-Employed,10000.0,11500.0,15,18,17,17
40000.0,44000.0,30,Yes,Good,47,Other,GT Bank,Unemployed,40000.0,44000.0,30,32,32,32
20000.0,22250.0,15,Yes,Bad,24,Savings,Zenith Bank,Student,10000.0,11500.0,15,8,17,7
30000.0,34500.0,30,Yes,Good,47,Savings,First Bank,Permanent,30000.0,34500.0,30,31,30,31
30000.0,34500.0,30,Yes,Bad,38,Other,GT Bank,Self-Employed,10000.0,11500.0,15,16,15,16
40000.0,48000.0,60,Yes,Good,29,Savings,Stanbic IBTC,Permanent,40000.0,48000.0,60,34,30,31
30000.0,39000.0,60,Yes,Good,34,Savings,UBA,Permanent,10000.0,11500.0,15,0,15,0
30000.0,39000.0,60,Yes,Good,32,Savings,Fidelity Bank,Permanent,20000.0,24500.0,30,18,31,18
10000.0,13000.0,30,Yes,Good,29,Savings,Access Bank,Permanent,10000.0,13000.0,30,30,30,30
10000.0,13000.0,30,Yes,Good,29,Savings,GT Bank,Unemployed,20000.0,24500.0,30,134,30,134
30000.0,34500.0,30,Yes,Good,25,Savings,GT Bank,Permanent,20000.0,22250.0,15,7,15,7
10000.0,13000.0,30,Yes,Good,21,Savings,UBA,Student,10000.0,11500.0,15,11,15,11
20000.0,24500.0,30,Yes,Good,39,Savings,GT Bank,Permanent,20000.0,24000.0,30,24,31,24
10000.0,13000.0,30,Yes,Good,30,Savings,UBA,Permanent,10000.0,13000.0,30,28,33,28
10000.0,13000.0,30,Yes,Good,30,Other,Diamond Bank,Permanent,10000.0,11500.0,15,11,17,11
30000.0,34500.0,30,Yes,Good,36,Savings,First Bank,Permanent,30000.0,34500.0,30,30,30,30
30000.0,34500.0,30,Yes,Good,37,Other,Diamond Bank,Self-Employed,20000.0,24500.0,30,28,32,28
30000.0,34500.0,30,Yes,Bad,35,Other,UBA,Self-Employed,20000.0,24500.0,30,27,30,26
20000.0,24500.0,30,Yes,Good,41,Savings,Diamond Bank,Permanent,10000.0,13000.0,30,28,31,28
15000.0,16687.5,15,Yes,Good,43,Savings,Wema Bank,Permanent,10000.0,11450.0,15,20,18,20
50000.0,52500.0,30,Yes,Good,36,Other,Access Bank,Permanent,30000.0,34400.0,30,23,30,23
30000.0,34500.0,30,Yes,Good,31,Savings,GT Bank,Permanent,20000.0,23800.0,30,26,31,26
10000.0,13000.0,30,Yes,Good,32,Savings,Sterling Bank,Permanent,10000.0,13000.0,30,26,30,26
10000.0,13000.0,30,Yes,Good,25,Savings,Access Bank,Permanent,10000.0,13000.0,30,29,31,29
10000.0,13000.0,30,Yes,Good,30,Savings,Zenith Bank,Undisclosed,10000.0,13000.0,30,26,30,26
10000.0,13000.0,30,Yes,Good,33,Savings,Access Bank,Permanent,10000.0,13000.0,30,24,30,24
10000.0,13000.0,30,Yes,Good,34,Savings,Skye Bank,Permanent,10000.0,13000.0,30,30,31,30
40000.0,44000.0,30,Yes,Good,25,Savings,Access Bank,Student,30000.0,36800.0,60,54,30,30
10000.0,11500.0,15,Yes,Good,32,Savings,Access Bank,Permanent,10000.0,11500.0,15,15,17,15
10000.0,13000.0,30,Yes,Good,26,Savings,GT Bank,Permanent,10000.0,13000.0,30,30,32,30
10000.0,11500.0,15,Yes,Good,46,Savings,Diamond Bank,Permanent,10000.0,11500.0,15,7,15,7
10000.0,13000.0,30,Yes,Good,26,Savings,Access Bank,Permanent,10000.0,13000.0,30,22,30,22
10000.0,13000.0,30,Yes,Good,33,Savings,GT Bank,Unemployed,10000.0,13000.0,30,23,30,23
10000.0,13000.0,30,Yes,Bad,37,Savings,Access Bank,Permanent,10000.0,13000.0,30,29,30,29
20000.0,22250.0,15,Yes,Good,22,Savings,UBA,Permanent,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,40,Savings,GT Bank,Permanent,10000.0,13000.0,30,28,31,28
40000.0,48000.0,60,Yes,Good,37,Savings,Stanbic IBTC,Permanent,40000.0,47600.0,60,60,30,49
20000.0,22250.0,15,Yes,Good,32,Savings,GT Bank,Permanent,10000.0,13000.0,30,29,30,29
10000.0,11500.0,15,Yes,Good,32,Savings,Access Bank,Undisclosed,10000.0,11500.0,15,0,15,0
10000.0,11500.0,15,Yes,Good,43,Savings,Access Bank,Permanent,10000.0,13000.0,30,30,31,30
10000.0,13000.0,30,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,13000.0,30,54,31,54
20000.0,24500.0,30,Yes,Good,32,Savings,GT Bank,Permanent,10000.0,11500.0,15,14,15,14
20000.0,24500.0,30,Yes,Good,31,Savings,Diamond Bank,Permanent,10000.0,13000.0,30,25,30,25
40000.0,44000.0,30,Yes,Bad,30,Savings,Stanbic IBTC,Permanent,30000.0,34400.0,30,29,30,29
10000.0,13000.0,30,Yes,Bad,31,Savings,Sterling Bank,Permanent,10000.0,13000.0,30,33,30,33
10000.0,13000.0,30,Yes,Bad,31,Savings,First Bank,Permanent,10000.0,13000.0,30,32,32,32
20000.0,24500.0,30,Yes,Bad,30,Savings,Stanbic IBTC,Undisclosed,10000.0,13000.0,30,21,30,21
10000.0,13000.0,30,Yes,Bad,33,Savings,Access Bank,Permanent,10000.0,13000.0,30,37,31,37
10000.0,11500.0,15,Yes,Good,40,Other,Sterling Bank,Permanent,5000.0,5750.0,15,20,15,19
50000.0,52500.0,30,Yes,Good,41,Other,GT Bank,Self-Employed,40000.0,47600.0,60,30,30,30
30000.0,34500.0,30,Yes,Good,26,Savings,Zenith Bank,Permanent,20000.0,24500.0,30,22,30,22
20000.0,22250.0,15,Yes,Bad,30,Savings,Skye Bank,Permanent,10000.0,11500.0,15,7,15,7
10000.0,13000.0,30,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,13000.0,30,25,31,25
10000.0,13000.0,30,Yes,Good,42,Other,Access Bank,Permanent,10000.0,13000.0,30,27,31,27
30000.0,39000.0,60,Yes,Good,39,Savings,GT Bank,Permanent,10000.0,12250.0,30,7,30,7
20000.0,21750.0,15,Yes,Good,29,Savings,Diamond Bank,Undisclosed,10000.0,11500.0,15,18,18,18
10000.0,11500.0,15,Yes,Bad,30,Savings,GT Bank,Undisclosed,10000.0,13000.0,30,31,31,31
20000.0,24500.0,30,Yes,Good,41,Other,GT Bank,Permanent,20000.0,24500.0,30,31,33,31
10000.0,13000.0,30,Yes,Bad,26,Other,Diamond Bank,Permanent,10000.0,11500.0,15,4,15,4
10000.0,12250.0,30,Yes,Good,33,Savings,Access Bank,Undisclosed,10000.0,13000.0,30,28,30,28
10000.0,13000.0,30,Yes,Good,35,Savings,First Bank,Permanent,10000.0,13000.0,30,34,31,34
20000.0,24500.0,30,Yes,Good,31,Savings,EcoBank,Permanent,10000.0,13000.0,30,21,30,21
10000.0,11500.0,15,Yes,Good,27,Savings,GT Bank,Permanent,10000.0,11500.0,15,13,17,13
15000.0,18375.0,30,Yes,Good,36,Savings,UBA,Permanent,10000.0,11500.0,15,14,16,14
10000.0,11500.0,15,Yes,Good,32,Savings,Access Bank,Permanent,10000.0,11500.0,15,4,15,4
10000.0,13000.0,30,Yes,Good,30,Savings,GT Bank,Permanent,10000.0,13000.0,30,27,30,27
30000.0,34500.0,30,Yes,Good,29,Savings,GT Bank,Permanent,20000.0,23800.0,30,29,30,29
10000.0,11500.0,15,Yes,Good,31,Other,Access Bank,Permanent,10000.0,11500.0,15,15,15,15
30000.0,39000.0,60,Yes,Good,27,Savings,Zenith Bank,Undisclosed,20000.0,24500.0,30,27,30,27
40000.0,44000.0,30,Yes,Good,30,Savings,First Bank,Permanent,40000.0,44800.0,30,33,33,33
10000.0,11500.0,15,Yes,Bad,38,Savings,GT Bank,Permanent,10000.0,11500.0,15,23,16,23
10000.0,13000.0,30,Yes,Good,37,Savings,Skye Bank,Permanent,10000.0,11500.0,15,15,15,15
30000.0,39000.0,60,Yes,Good,29,Other,UBA,Permanent,10000.0,13000.0,30,35,32,35
10000.0,13000.0,30,Yes,Good,38,Savings,UBA,Permanent,10000.0,11500.0,15,5,15,5
30000.0,34500.0,30,Yes,Good,29,Savings,Stanbic IBTC,Permanent,20000.0,24500.0,30,28,30,28
20000.0,24500.0,30,Yes,Good,28,Savings,Keystone Bank,Permanent,10000.0,11500.0,15,17,15,17
10000.0,13000.0,30,Yes,Good,34,Savings,Skye Bank,Permanent,10000.0,13000.0,30,29,31,29
30000.0,34500.0,30,Yes,Good,38,Savings,FCMB,Permanent,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,33,Savings,First Bank,Permanent,10000.0,13000.0,30,28,30,28
10000.0,13000.0,30,Yes,Good,33,Savings,GT Bank,Permanent,10000.0,13000.0,30,30,30,30
20000.0,24500.0,30,Yes,Good,29,Savings,Diamond Bank,Permanent,10000.0,11500.0,15,16,16,16
10000.0,13000.0,30,Yes,Good,51,Savings,First Bank,Permanent,10000.0,13000.0,30,34,32,34
10000.0,13000.0,30,Yes,Good,30,Savings,Diamond Bank,Permanent,10000.0,13000.0,30,12,31,12
10000.0,11500.0,15,Yes,Good,30,Savings,GT Bank,Permanent,10000.0,11500.0,15,8,18,8
10000.0,13000.0,30,Yes,Bad,26,Savings,GT Bank,Permanent,10000.0,11500.0,15,15,15,15
20000.0,22250.0,15,Yes,Bad,31,Savings,Access Bank,Permanent,10000.0,11500.0,15,17,17,17
10000.0,13000.0,30,Yes,Bad,38,Savings,GT Bank,Permanent,10000.0,13000.0,30,27,31,27
10000.0,13000.0,30,Yes,Bad,26,Savings,First Bank,Undisclosed,10000.0,13000.0,30,34,34,34
10000.0,11500.0,15,Yes,Bad,35,Savings,GT Bank,Permanent,10000.0,11500.0,15,23,15,23
30000.0,34500.0,30,Yes,Bad,36,Other,EcoBank,Permanent,30000.0,34500.0,30,30,30,30
10000.0,13000.0,30,Yes,Bad,27,Savings,GT Bank,Permanent,10000.0,13000.0,30,25,31,25
20000.0,24500.0,30,Yes,Good,29,Other,GT Bank,Self-Employed,20000.0,24500.0,30,81,30,81
10000.0,11500.0,15,Yes,Good,44,Savings,Fidelity Bank,Permanent,10000.0,13000.0,30,36,30,36
50000.0,52500.0,30,Yes,Good,31,Savings,GT Bank,Self-Employed,30000.0,33000.0,30,26,31,26
10000.0,11000.0,30,Yes,Good,32,Other,Stanbic IBTC,Unemployed,30000.0,34500.0,30,30,30,30
10000.0,11500.0,30,Yes,Good,28,Other,Fidelity Bank,Permanent,20000.0,22250.0,15,17,17,17
10000.0,13000.0,30,Yes,Good,33,Savings,Zenith Bank,Permanent,10000.0,13000.0,30,9,32,9
10000.0,11500.0,15,Yes,Bad,30,Savings,First Bank,Undisclosed,10000.0,11500.0,15,15,15,15
20000.0,24500.0,30,Yes,Good,34,Savings,Diamond Bank,Permanent,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,27,Savings,UBA,Undisclosed,10000.0,11500.0,15,14,15,14
20000.0,24500.0,30,Yes,Good,40,Other,Zenith Bank,Permanent,10000.0,11500.0,15,8,15,7
10000.0,13000.0,30,Yes,Good,35,Savings,EcoBank,Permanent,10000.0,13000.0,30,28,31,28
10000.0,11500.0,15,Yes,Good,27,Savings,Zenith Bank,Permanent,10000.0,11500.0,15,0,15,0
10000.0,11500.0,15,Yes,Good,32,Savings,Fidelity Bank,Permanent,10000.0,11500.0,15,7,16,7
30000.0,34500.0,30,Yes,Good,53,Savings,First Bank,Permanent,30000.0,34500.0,30,27,30,27
10000.0,13000.0,30,Yes,Good,29,Savings,EcoBank,Permanent,10000.0,13000.0,30,22,30,22
30000.0,39000.0,60,Yes,Good,42,Other,EcoBank,Self-Employed,25000.0,29000.0,30,26,30,26
10000.0,11500.0,15,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,11500.0,15,11,15,11
10000.0,13000.0,30,Yes,Good,34,Savings,GT Bank,Permanent,10000.0,13000.0,30,29,30,29
10000.0,11500.0,15,Yes,Good,25,Savings,GT Bank,Permanent,10000.0,13000.0,30,24,30,24
10000.0,11500.0,15,Yes,Good,36,Savings,GT Bank,Permanent,10000.0,11500.0,15,8,15,8
20000.0,24500.0,30,Yes,Bad,27,Savings,First Bank,Permanent,10000.0,11500.0,15,18,18,18
30000.0,39000.0,60,Yes,Good,27,Other,GT Bank,Student,20000.0,24500.0,30,28,30,28
20000.0,24500.0,30,Yes,Good,31,Savings,UBA,Permanent,10000.0,13000.0,30,25,31,25
10000.0,13000.0,30,Yes,Good,36,Savings,Zenith Bank,Permanent,10000.0,13000.0,30,55,32,48
10000.0,13000.0,30,Yes,Good,24,Savings,GT Bank,Student,10000.0,11500.0,15,11,16,11
30000.0,39000.0,60,Yes,Good,35,Savings,UBA,Permanent,20000.0,23800.0,30,27,30,27
30000.0,39000.0,60,Yes,Good,24,Other,Skye Bank,Self-Employed,10000.0,13000.0,30,32,32,32
10000.0,13000.0,30,Yes,Good,33,Savings,Sterling Bank,Permanent,10000.0,11500.0,15,15,15,15
20000.0,24500.0,30,Yes,Good,33,Savings,First Bank,Permanent,20000.0,22250.0,15,11,15,11
10000.0,11500.0,15,Yes,Good,35,Savings,Diamond Bank,Permanent,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,34,Savings,GT Bank,Permanent,10000.0,11500.0,15,9,16,9
20000.0,22250.0,15,Yes,Good,32,Savings,Access Bank,Unemployed,10000.0,13000.0,30,31,32,31
20000.0,24500.0,30,Yes,Good,32,Savings,Zenith Bank,Undisclosed,10000.0,13000.0,30,27,30,27
20000.0,24500.0,30,Yes,Good,29,Savings,Access Bank,Permanent,20000.0,24500.0,30,29,30,29
30000.0,34500.0,30,Yes,Good,42,Other,First Bank,Permanent,30000.0,34500.0,30,24,30,24
15000.0,17250.0,30,Yes,Good,34,Savings,Wema Bank,Undisclosed,15000.0,16687.5,15,17,17,17
10000.0,13000.0,30,Yes,Good,26,Savings,UBA,Permanent,10000.0,13000.0,30,32,32,32
10000.0,11500.0,15,Yes,Good,28,Savings,Diamond Bank,Undisclosed,10000.0,11500.0,15,6,16,6
10000.0,13000.0,30,Yes,Good,33,Savings,Skye Bank,Permanent,10000.0,13000.0,30,26,31,26
50000.0,57500.0,90,Yes,Good,26,Savings,Access Bank,Permanent,30000.0,34500.0,30,22,30,22
30000.0,34500.0,30,Yes,Good,33,Other,GT Bank,Self-Employed,10000.0,11500.0,30,19,33,19
10000.0,13000.0,30,Yes,Good,40,Savings,Diamond Bank,Permanent,10000.0,13000.0,30,32,32,32
20000.0,24500.0,30,Yes,Good,37,Savings,Stanbic IBTC,Permanent,20000.0,24500.0,30,27,30,27
10000.0,13000.0,30,Yes,Good,27,Savings,Skye Bank,Permanent,10000.0,13000.0,30,32,32,32
10000.0,11500.0,15,Yes,Bad,23,Savings,GT Bank,Permanent,10000.0,11500.0,15,14,15,14
30000.0,34500.0,30,Yes,Good,39,Other,Diamond Bank,Retired,20000.0,24500.0,30,29,30,29
10000.0,13000.0,30,Yes,Good,37,Savings,GT Bank,Permanent,10000.0,13000.0,30,12,32,12
10000.0,11500.0,15,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,11500.0,15,9,16,9
10000.0,13000.0,30,Yes,Bad,42,Savings,GT Bank,Permanent,10000.0,13000.0,30,29,32,29
10000.0,13000.0,30,Yes,Bad,29,Savings,GT Bank,Permanent,10000.0,13000.0,30,37,30,37
20000.0,24500.0,30,Yes,Bad,29,Savings,GT Bank,Undisclosed,10000.0,13000.0,30,34,33,34
10000.0,13000.0,30,Yes,Bad,25,Savings,UBA,Student,10000.0,13000.0,30,44,30,44
10000.0,13000.0,30,Yes,Bad,51,Savings,Stanbic IBTC,Permanent,10000.0,13000.0,30,50,31,50
30000.0,39000.0,60,Yes,Bad,30,Savings,EcoBank,Permanent,20000.0,23800.0,30,33,33,33
10000.0,11500.0,15,Yes,Bad,33,Savings,First Bank,Undisclosed,10000.0,11500.0,15,10,15,10
40000.0,44000.0,30,Yes,Good,38,Other,First Bank,Self-Employed,20000.0,21900.0,15,13,15,13
30000.0,33000.0,30,Yes,Good,36,Other,First Bank,Permanent,30000.0,34400.0,30,19,30,19
10000.0,12250.0,30,Yes,Bad,34,Other,GT Bank,Self-Employed,10000.0,13000.0,30,30,30,30
10000.0,13000.0,30,Yes,Good,38,Savings,GT Bank,Self-Employed,10000.0,11500.0,15,9,15,9
10000.0,13000.0,30,Yes,Good,35,Savings,GT Bank,Permanent,10000.0,13000.0,30,26,30,26
10000.0,13000.0,30,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,13000.0,30,30,30,30
30000.0,39000.0,60,Yes,Good,40,Savings,Access Bank,Undisclosed,20000.0,22250.0,15,16,16,16
30000.0,34500.0,30,Yes,Good,30,Savings,Skye Bank,Permanent,20000.0,23800.0,30,8,30,8
10000.0,13000.0,30,Yes,Good,32,Savings,GT Bank,Permanent,10000.0,13000.0,30,26,30,26
10000.0,13000.0,30,Yes,Good,24,Savings,GT Bank,Permanent,10000.0,13000.0,30,25,31,25
10000.0,13000.0,30,Yes,Good,41,Savings,First Bank,Permanent,10000.0,13000.0,30,33,30,33
20000.0,21500.0,15,Yes,Good,34,Savings,Access Bank,Permanent,10000.0,11500.0,15,8,17,8
10000.0,13000.0,30,Yes,Good,30,Savings,GT Bank,Permanent,10000.0,13000.0,30,27,32,27
10000.0,11500.0,15,Yes,Good,25,Savings,GT Bank,Permanent,10000.0,11500.0,15,16,16,16
10000.0,13000.0,30,Yes,Good,29,Savings,GT Bank,Permanent,10000.0,13000.0,30,22,32,22
40000.0,48000.0,60,Yes,Good,31,Other,Access Bank,Self-Employed,10000.0,13000.0,30,27,30,27
20000.0,24500.0,30,Yes,Bad,36,Savings,EcoBank,Permanent,10000.0,13000.0,30,30,30,30
10000.0,11500.0,15,Yes,Good,32,Savings,GT Bank,Permanent,10000.0,13000.0,30,14,31,14
10000.0,13000.0,30,Yes,Bad,29,Savings,Stanbic IBTC,Permanent,10000.0,13000.0,30,28,30,28
10000.0,11500.0,15,Yes,Good,27,Savings,Access Bank,Permanent,10000.0,13000.0,30,24,31,24
10000.0,13000.0,30,Yes,Good,38,Savings,First Bank,Permanent,10000.0,13000.0,30,17,30,17
10000.0,13000.0,30,Yes,Bad,34,Savings,Diamond Bank,Permanent,10000.0,13000.0,30,27,33,27
20000.0,24500.0,30,Yes,Good,34,Savings,Access Bank,Permanent,10000.0,13000.0,30,30,31,30
10000.0,11500.0,15,Yes,Bad,41,Savings,Zenith Bank,Permanent,10000.0,11500.0,15,66,16,66
10000.0,13000.0,30,Yes,Good,37,Other,First Bank,Permanent,10000.0,13000.0,30,54,30,54
15000.0,18375.0,30,Yes,Good,36,Savings,GT Bank,Permanent,10000.0,11125.0,15,10,15,10
40000.0,44000.0,30,Yes,Good,38,Other,GT Bank,Self-Employed,30000.0,34500.0,30,23,30,23
30000.0,34500.0,30,Yes,Good,33,Other,GT Bank,Permanent,10000.0,13000.0,30,28,30,28
10000.0,13000.0,30,Yes,Bad,39,Savings,Diamond Bank,Permanent,10000.0,13000.0,30,23,30,23
10000.0,13000.0,30,Yes,Good,36,Savings,GT Bank,Permanent,10000.0,13000.0,30,27,30,27
20000.0,24500.0,30,Yes,Good,34,Savings,First Bank,Undisclosed,10000.0,11500.0,15,17,17,17
20000.0,24500.0,30,Yes,Good,37,Savings,Stanbic IBTC,Undisclosed,20000.0,24500.0,30,28,30,28
20000.0,24500.0,30,Yes,Good,28,Savings,Zenith Bank,Permanent,20000.0,24500.0,30,33,30,33
10000.0,13000.0,30,Yes,Good,25,Savings,Stanbic IBTC,Permanent,10000.0,11500.0,15,14,15,14
20000.0,24500.0,30,Yes,Good,28,Savings,GT Bank,Permanent,10000.0,13000.0,30,27,30,27
20000.0,24500.0,30,Yes,Bad,29,Savings,GT Bank,Permanent,20000.0,24500.0,30,30,30,30
10000.0,13000.0,30,Yes,Bad,26,Savings,GT Bank,Permanent,10000.0,11500.0,15,16,16,16
10000.0,13000.0,30,Yes,Bad,27,Savings,First Bank,Unemployed,10000.0,13000.0,30,25,32,25
10000.0,13000.0,30,Yes,Bad,28,Savings,GT Bank,Permanent,10000.0,13000.0,30,28,32,28
10000.0,13000.0,30,Yes,Bad,28,Savings,GT Bank,Permanent,10000.0,11500.0,15,15,15,15
40000.0,48000.0,60,Yes,Good,32,Savings,GT Bank,Permanent,30000.0,36800.0,60,60,30,30
10000.0,11500.0,15,Yes,Good,28,Savings,First Bank,Permanent,10000.0,11500.0,15,18,17,18
10000.0,13000.0,30,Yes,Good,29,Savings,EcoBank,Permanent,10000.0,13000.0,30,2,30,2
10000.0,13000.0,30,Yes,Good,29,Savings,First Bank,Permanent,10000.0,13000.0,30,32,30,31
40000.0,48000.0,60,Yes,Bad,31,Savings,GT Bank,Permanent,30000.0,34400.0,30,10,32,10
20000.0,24500.0,30,Yes,Good,23,Other,UBA,Permanent,15000.0,18350.0,30,37,32,37
10000.0,11500.0,15,Yes,Good,33,Savings,GT Bank,Permanent,10000.0,11500.0,15,6,17,6
10000.0,13000.0,30,Yes,Good,32,Savings,GT Bank,Permanent,10000.0,13000.0,30,24,30,24
50000.0,55000.0,60,Yes,Good,24,Other,Zenith Bank,Self-Employed,40000.0,47600.0,60,58,30,29
10000.0,13000.0,30,Yes,Good,41,Savings,First Bank,Undisclosed,10000.0,13000.0,30,31,31,31
20000.0,22250.0,15,Yes,Good,30,Savings,GT Bank,Permanent,20000.0,24500.0,30,23,30,23
10000.0,11500.0,15,Yes,Good,32,Savings,Access Bank,Permanent,10000.0,11500.0,15,7,17,7
10000.0,13000.0,30,Yes,Good,25,Savings,Stanbic IBTC,Permanent,10000.0,13000.0,30,23,30,23
10000.0,13000.0,30,Yes,Good,27,Savings,GT Bank,Permanent,10000.0,13000.0,30,21,31,21
20000.0,24500.0,30,Yes,Bad,32,Savings,GT Bank,Undisclosed,10000.0,11500.0,15,12,16,12
10000.0,11500.0,15,Yes,Good,29,Savings,EcoBank,Permanent,10000.0,11500.0,15,38,15,38
30000.0,34500.0,30,Yes,Good,38,Other,GT Bank,Permanent,20000.0,22250.0,15,15,17,15
10000.0,13000.0,30,Yes,Good,26,Savings,Access Bank,Permanent,10000.0,13000.0,30,30,30,30
10000.0,11500.0,15,Yes,Good,35,Savings,Sterling Bank,Permanent,10000.0,11500.0,15,6,16,6
